,Accession
1870,AF048581
1871,AF048582
1872,AF048583
1873,AF048584
1874,AF048585
1875,AF048586
1876,AF048587
1877,AF048588
1878,AF048589
1879,AF048590
1880,AF048591
1881,AF048592
1882,AF048593
1883,AF048594
1884,AF048595
1885,AF048596
1886,AF048597
1887,AF048598
1888,AF048599
1889,AF048600
1890,AF048601
1891,AF048602
1892,AF048603
1893,AF048604
1894,AF048605
1895,AF048606
1896,AF048607
1897,AF048608
1898,AF048609
1899,AF048610
1900,AF048611
1901,AF048612
1902,AF048613
1903,AF048614
1904,AF048615
1905,AF048616
1906,AF048617
1907,AF048618
1908,AF048619
1909,AF048620
1910,AF048621
1911,AF048622
1912,AF048623
1913,AF048624
1914,AF048625
1915,AF048626
1916,AF048627
1917,AF048628
1918,AF048629
1919,AF048630
1920,AF048631
1921,AF048632
1922,AF048633
1923,AF048634
1924,AF048635
1925,AF048636
1926,AF048637
1927,AF048638
1928,AF048639
1929,AF048640
1930,AF048641
1931,AF048642
1932,AF048643
1933,AF048644
1934,AF048645
1935,AF048646
1936,AF048647
1937,AF048648
1938,AF048649
1939,AF048650
1940,AF048651
1941,AF048652
1942,AF048653
1943,AF048654
1944,AF048655
1945,AF048656
1946,AF048657
1947,AF048658
1948,AF048659
1949,AF048660
1950,AF048661
1951,AF048662
1952,AF048663
1953,AF048664
1954,AF048665
1955,AF048666
1956,AF048667
1957,AF048668
1958,AF048669
1959,AF048670
1960,AF048671
1961,AF048672
1962,AF048673
1963,AF048674
1964,AF048675
1965,AF048676
1966,AF048677
1967,AF048678
1968,AF048679
1969,AF048680
1970,AF048681
1971,AF048682
1972,AF048683
1973,AF048684
1974,AF048685
1975,AF053181
1976,AF053182
1977,AF053183
1978,AF053184
1979,AF053185
1980,AF053186
1981,AF053187
1982,AF053188
1983,AF053189
1984,AF053190
1985,AF053191
1986,AF053192
1987,AF053193
1988,AF053194
1989,AF053195
1990,AF053196
1991,AF053197
1992,AF053198
1993,AF053199
1994,AF053200
1995,AF053201
1996,AF053202
1997,AF053203
1998,AF053204
1999,AF053205
2000,AF053206
2001,AF053207
2002,AF053208
2003,AF053209
2004,AF053210
2005,AF053211
2006,AF053212
2007,AF053213
2008,AF053214
2009,AF053215
2010,AF053216
2011,AF053217
2012,AF053218
2013,AF053219
2014,AF053220
2015,AF053221
2016,AF053222
2017,AF053223
2018,AF053224
2019,AF053277
2020,AF053278
2021,AF053279
2022,AF053280
2023,AF053281
2024,AF053282
2025,AF053283
2026,AF053284
2027,AF053285
2028,AF053286
2029,AF053287
2030,AF053288
2031,AF053289
2032,AF053290
2033,AF053291
2034,AF053292
2035,AF053293
2036,AF053294
2037,AF053295
2038,AF053296
2039,AF053297
2040,AF053298
2041,AF053299
2042,AF055728
2043,AF055729
2044,AF055730
2045,AF055731
2046,AF055732
2047,AF056117
2048,AF056118
2049,AF056119
2050,AF056120
2051,AF056121
2052,AF056122
2053,AF056123
2054,AF056124
2055,AF056125
2056,AF056126
2057,AF056127
2058,AF056128
2059,AF056129
2060,AF056130
2061,AF056131
2062,AF056132
2063,AF056133
2064,AF056134
2065,AF056135
2066,AF056136
2067,AF056137
2068,AF056138
2069,AF056139
2070,AF056140
2071,AF056141
2072,AF056185
2073,AF056186
2074,AF061640
2075,AF061641
2076,AF062521
2077,AF067735
2078,AF067736
2079,AF067737
2080,AF067738
2081,AF067739
2082,AF067740
2083,AF067741
2084,AF067742
2085,AF067743
2086,AF067744
2087,AF067745
2088,AF067746
2089,AF067747
2090,AF067748
2091,AF067749
2092,AF067750
2093,AF067751
2094,AF067752
2095,AF067753
2096,AF067754
2097,AF067755
2098,AF067756
2099,AF067757
2100,AF067758
2101,AF067759
2102,AF067760
2103,AF067761
2104,AF067762
2105,AF067763
2106,AF067764
2107,AF067765
2108,AF067766
2109,AF067767
2110,AF069932
2111,AF069933
2112,AF069934
2113,AF069935
2114,AF069936
2115,AF069937
2116,AF069938
2117,AF069939
2118,AF069940
2119,AF069941
2120,AF069942
2121,AF069943
2122,AF069944
2123,AF069945
2124,AF069946
2125,AF069947
2126,AF069948
2127,AF074046
2128,AF074047
2129,AF074048
2130,AF074049
2131,AF074050
2132,AF074051
2133,AF074052
2134,AF074053
2135,AF074054
2136,AF074055
2137,AF074056
2138,AF074057
2139,AF074058
2140,AF074059
2141,AF074060
2142,AF074061
2143,AF074062
2144,AF074063
2145,AF074064
2146,AF074065
2147,AF074066
2148,AF074067
2149,AF074068
2150,AF074069
2151,AF074070
2152,AF074071
2153,AF074072
2154,AF074073
2155,AF074074
2156,AF074075
2157,AF074076
2158,AF074077
2159,AF074078
2160,AF074079
2161,AF074080
2162,AF074081
2163,AF074082
2164,AF074083
2165,AF074084
2166,AF075668
2167,AF075669
2168,AF075670
2169,AF075671
2170,AF075672
2171,AF075673
2172,AF075674
2173,AF075675
2174,AF075676
2175,AF075677
2176,AF076474
2177,AF082104
2178,AF082105
2179,AF082106
2180,AF082107
2181,AF082108
2182,AF082109
2183,AF082110
2184,AF082111
2185,AF082112
2186,AF082113
2187,AF082114
2188,AF082115
2189,AF082116
2190,AF082117
2191,AF082118
2192,AF082119
2193,AF082120
2194,AF082121
2195,AF082122
2196,AF082123
2197,AF082304
2198,AF082305
2199,AF082306
2200,AF082307
2201,AF082308
2202,AF082309
2203,AF082310
2204,AF082311
2205,AF082312
2206,AF082313
2207,AF082314
2208,AF082315
2209,AF082316
2210,AF082317
2211,AF082318
2212,AF082319
2213,AF082320
2214,AF082905
2215,AF082906
2216,AF082907
2217,AF082908
2218,AF082909
2219,AF082910
2220,AF082911
2221,AF082912
2222,AF082913
2223,AF082914
2224,AF083257
2225,AF083258
2226,AF083259
2227,AF083260
2228,AF083261
2229,AF083262
2230,AF083263
2231,AF083264
2232,AF083265
2233,AF083266
2234,AF083267
2235,AF083268
2236,AF085284
2237,AF085285
2238,AF085286
2239,AF085287
2240,AF085288
2241,AF085289
2242,AF085290
2243,AF085291
2244,AF085292
2245,AF085293
2246,AF085294
2247,AF085295
2248,AF085296
2249,AF085297
2250,AF085298
2251,AF085299
2252,AF085300
2253,AF085301
2254,AF085302
2255,AF085303
2256,AF085304
2257,AF085305
2258,AF085306
2259,AF085307
2260,AF085308
2261,AF085309
2262,AF085310
2263,AF085311
2264,AF085312
2265,AF085313
2266,AF085314
2267,AF085315
2268,AF085316
2269,AF085317
2270,AF085318
2271,AF085319
2272,AF085320
2273,AF085321
2274,AF085322
2275,AF085323
2276,AF085324
2277,AF085325
2278,AF085326
2279,AF085327
2280,AF086647
2281,AF086648
2282,AF086649
2283,AF086650
2284,AF086651
2285,AF086652
2286,AF086653
2287,AF086654
2288,AF086655
2289,AF086656
2290,AF086657
2291,AF086658
2292,AF086659
2293,AF086660
2294,AF086661
2295,AF086662
2296,AF086663
2297,AF086664
2298,AF086665
2299,AF086666
2300,AF086667
2301,AF086668
2302,AF086669
2303,AF086670
2304,AF086671
2305,AF086672
2306,AF086673
2307,AF086674
2308,AF086675
2309,AF086676
2310,AF086677
2311,AF086678
2312,AF086679
2313,AF086680
2314,AF086681
2315,AF086682
2316,AF086683
2317,AF086684
2318,AF086685
2319,AF086686
2320,AF086771
2321,AF086772
2322,AF086773
2323,AF086774
2324,AF086775
2325,AF086776
2326,AF086777
2327,AF086778
2328,AF086779
2329,AF086780
2330,AF087522
2331,AF087523
2332,AF087524
2333,AF087525
2334,AF087526
2335,AF087527
2336,AF087528
2337,AF087529
2338,AF087530
2339,AF087531
2340,AF087532
2341,AF087533
2342,AF087534
2343,AF087535
2344,AF087536
2345,AF087537
2346,AF087538
2347,AF087539
2348,AF087540
2349,AF087541
2350,AF087542
2351,AF087543
2352,AF087544
2353,AF087545
2354,AF087546
2355,AF087547
2356,AF087548
2357,AF087549
2358,AF087550
2359,AF087551
2360,AF087552
2361,AF087553
2362,AF087554
2363,AF087555
2364,AF087556
2365,AF087557
2366,AF087558
2367,AF087559
2368,AF087560
2369,AF087561
2370,AF095825
2371,AF095826
2372,AF095827
2373,AF095828
2374,AF095829
2375,AF095830
2376,AF095831
2377,AF095832
2378,AF095833
2379,AF095834
2380,AF095835
2381,AF095836
2382,AF095837
2383,AF095838
2384,AF096633
2385,AF096634
2386,AF096635
2387,AF096636
2388,AF096637
2389,AF096638
2390,AF096639
2391,AF096640
2392,AF096641
2393,AF096642
2394,AF096643
2395,AF096644
2396,AF096645
2397,AF096646
2398,AF096647
2399,AF096648
2400,AF096649
2401,AF096650
2402,AF096651
2403,AF096652
2404,AF096653
2405,AF096654
2406,AF096655
2407,AF096656
2408,AF096657
2409,AF096778
2410,AF096779
2411,AF096780
2412,AF096781
2413,AF096782
2414,AF097692
2415,AF097693
2416,AF097694
2417,AF097695
2418,AF097696
2419,AF097697
2420,AF097698
2421,AF098078
2422,AF098079
2423,AF098080
2424,AF098081
2425,AF098082
2426,AF098083
2427,AF098084
2428,AF098085
2429,AF098086
2430,AF098087
2431,AF098088
2432,AF098089
2433,AF098090
2434,AF098091
2435,AF098092
2436,AF098093
2437,AF098094
2438,AF098095
2439,AF098096
2440,AF098097
2441,AF098098
2442,AF098099
2443,AF098100
2444,AF098101
2445,AF098102
2446,AF098103
2447,AF098104
2448,AF098105
2449,AF098106
2450,AF101456
2451,AF101457
2452,AF101458
2453,AF101459
2454,AF101460
2455,AF101461
2456,AF101462
2457,AF101463
2458,AF101464
2459,AF101465
2460,AF101466
2461,AF101467
2462,AF101468
2463,AF101469
2464,AF101470
2465,AF101471
2466,AF102199
2467,AF102200
2468,AF102201
2469,AF102202
2470,AF102203
2471,AF102204
2472,AF102205
2473,AF102206
2474,AF102207
2475,AF102208
2476,AF102217
2477,AF102218
2478,AF102219
2479,AF102220
2480,AF102221
2481,AF102222
2482,AF102223
2483,AF102224
2484,AF102225
2485,AF102226
2486,AF103909
2487,AF103910
2488,AF103911
2489,AF103912
2490,AF103913
2491,AF103914
2492,AF103915
2493,AF103916
2494,AF103917
2495,AF103918
2496,AF103919
2497,AF103920
2498,AF103921
2499,AF103922
2500,AF103923
2501,AF103924
2502,AF103925
2503,AF103926
2504,AF103927
2505,AF103928
2506,AF103929
2507,AF103930
2508,AF103931
2509,AF103932
2510,AF103933
2511,AF103934
2512,AF103935
2513,AF103936
2514,AF103937
2515,AF103938
2516,AF106150
2517,AF106151
2518,AF106152
2519,AF106153
2520,AF106158
2521,AF106160
2522,AF106162
2523,AF106163
2524,AF106164
2525,AF106165
2526,AF106166
2527,AF106167
2528,AF106168
2529,AF106169
2530,AF106170
2531,AF106171
2532,AF106172
2533,AF106173
2534,AF106174
2535,AF106175
2536,AF106176
2537,AF106177
2538,AF106178
2539,AF106179
2540,AF106180
2541,AF106183
2542,AF106184
2543,AF106187
2544,AF106188
2545,AF106189
2546,AF106190
2547,AF106191
2548,AF106192
2549,AF106193
2550,AF106194
2551,AF106195
2552,AF106196
2553,AF106197
2554,AF106199
2555,AF106200
2556,AF106332
2557,AF106333
2558,AF106334
2559,AF106335
2560,AF106336
2561,AF106337
2562,AF106338
2563,AF106339
2564,AF106340
2565,AF106341
2566,AF106342
2567,AF106343
2568,AF106344
2569,AF106345
2570,AF106346
2571,AF106347
2572,AF106348
2573,AF106349
2574,AF106350
2575,AF106351
2576,AF106352
2577,AF106353
2578,AF106354
2579,AF106355
2580,AF106356
2581,AF106357
2582,AF106358
2583,AF106359
2584,AF106360
2585,AF106361
2586,AF106362
2587,AF106363
2588,AF106364
2589,AF106365
2590,AF106366
2591,AF106367
2592,AF106368
2593,AF106369
2594,AF106370
2595,AF106371
2596,AF106372
2597,AF106373
2598,AF106374
2599,AF106375
2600,AF106376
2601,AF106377
2602,AF106378
2603,AF106379
2604,AF106380
2605,AF106381
2606,AF106382
2607,AF106383
2608,AF106384
2609,AF106385
2610,AF106386
2611,AF106387
2612,AF106388
2613,AF106389
2614,AF106390
2615,AF106391
2616,AF106392
2617,AF106393
2618,AF106394
2619,AF106395
2620,AF106396
2621,AF106397
2622,AF106398
2623,AF106399
2624,AF106400
2625,AF106401
2626,AF106402
2627,AF106403
2628,AF106404
2629,AF106405
2630,AF106406
2631,AF106407
2632,AF106408
2633,AF106409
2634,AF106410
2635,AF106411
2636,AF106412
2637,AF106413
2638,AF106414
2639,AF106415
2640,AF106416
2641,AF106417
2642,AF106418
2643,AF106419
2644,AF106420
2645,AF106421
2646,AF106422
2647,AF106423
2648,AF106424
2649,AF106425
2650,AF106426
2651,AF106427
2652,AF106428
2653,AF106429
2654,AF106430
2655,AF106431
2656,AF106432
2657,AF106433
2658,AF106434
2659,AF106435
2660,AF106436
2661,AF106437
2662,AF106438
2663,AF106439
2664,AF106440
2665,AF106441
2666,AF106442
2667,AF106443
2668,AF106444
2669,AF106445
2670,AF106446
2671,AF106447
2672,AF106448
2673,AF106449
2674,AF106450
2675,AF106451
2676,AF106452
2677,AF106453
2678,AF106454
2679,AF106455
2680,AF106456
2681,AF106457
2682,AF106458
2683,AF106459
2684,AF106460
2685,AF106461
2686,AF106462
2687,AF106463
2688,AF106464
2689,AF106465
2690,AF106466
2691,AF106467
2692,AF106468
2693,AF106469
2694,AF106470
2695,AF106471
2696,AF106472
2697,AF107368
2698,AF107369
2699,AF107370
2700,AF107371
2701,AF107372
2702,AF107378
2703,AF107379
2704,AF107380
2705,AF107381
2706,AF107382
2707,AF107383
2708,AF107384
2709,AF107385
2710,AF110959
2711,AF110960
2712,AF110961
2713,AF110962
2714,AF110963
2715,AF110964
2716,AF110965
2717,AF110966
2718,AF110967
2719,AF110968
2720,AF110969
2721,AF110970
2722,AF110971
2723,AF110972
2724,AF110973
2725,AF110974
2726,AF110975
2727,AF110976
2728,AF110977
2729,AF110978
2730,AF110979
2731,AF110980
2732,AF110981
2733,AF113579
2734,AF113580
2735,AF113581
2736,AF113582
2737,AF113586
2738,AF113587
2739,AF113588
2740,AF113589
2741,AF113595
2742,AF116875
2743,AF116876
2744,AF116877
2745,AF116878
2746,AF116879
2747,AF116880
2748,AF116881
2749,AF116882
2750,AF116883
2751,AF116884
2752,AF116885
2753,AF116886
2754,AF116887
2755,AF116888
2756,AF116889
2757,AF116890
2758,AF116891
2759,AF116892
2760,AF116893
2761,AF116894
2762,AF116895
2763,AF119189
2764,AF119190
2765,AF119191
2766,AF119192
2767,AF119193
2768,AF119194
2769,AF119195
2770,AF119196
2771,AF119197
2772,AF119198
2773,AF119199
2774,AF119200
2775,AF119201
2776,AF119202
2777,AF119203
2778,AF119204
2779,AF119205
2780,AF119206
2781,AF119207
2782,AF119208
2783,AF119209
2784,AF119210
2785,AF119211
2786,AF119212
2787,AF119213
2788,AF119214
2789,AF119216
2790,AF119217
2791,AF119218
2792,AF119219
2793,AF120186
2794,AF120187
2795,AF120188
2796,AF120189
2797,AF120190
2798,AF120191
2799,AF120192
2800,AF120193
2801,AF120194
2802,AF120195
2803,AF120196
2804,AF120197
2805,AF120198
2806,AF120199
2807,AF120200
2808,AF120201
2809,AF120202
2810,AF120203
2811,AF120204
2812,AF120205
2813,AF125302
2814,AF127544
2815,AF127545
2816,AF127546
2817,AF127547
2818,AF127548
2819,AF127549
2820,AF127550
2821,AF127551
2822,AF127552
2823,AF127553
2824,AF127554
2825,AF127555
2826,AF127556
2827,AF127557
2828,AF127566
2829,AF127567
2830,AF127568
2831,AF127569
2832,AF127573
2833,AF133822
2834,AF144807
2835,AF144808
2836,AF144809
2837,AF144810
2838,AF144811
2839,AF144812
2840,AF144813
2841,AF144814
2842,AF144815
2843,AF144816
2844,AF144817
2845,AF144818
2846,AF144819
2847,AF144820
2848,AF144821
2849,AF144822
2850,AF144823
2851,AF144824
2852,AF144825
2853,AF144826
2854,AF144827
2855,AF144828
2856,AF144829
2857,AF144830
2858,AF144831
2859,AF144832
2860,AF144833
2861,AF144834
2862,AF144835
2863,AF144836
2864,AF144837
2865,AF144838
2866,AF144839
2867,AF144840
2868,AF144841
2869,AF144842
2870,AF144843
2871,AF144844
2872,AF144845
2873,AF144846
2874,AF144847
2875,AF144848
2876,AF144849
2877,AF144850
2878,AF144851
2879,AF144852
2880,AF144853
2881,AF144854
2882,AF144855
2883,AF144856
2884,AF144857
2885,AF144858
2886,AF144859
2887,AF144860
2888,AF144861
2889,AF144862
2890,AF144863
2891,AF144864
2892,AF144865
2893,AF144866
2894,AF144867
2895,AF144868
2896,AF144869
2897,AF144870
2898,AF144871
2899,AF144872
2900,AF144873
2901,AF144874
2902,AF144875
2903,AF144876
2904,AF144877
2905,AF144878
2906,AF153129
2907,AF153130
2908,AF153131
2909,AF153132
2910,AF153133
2911,AF153134
2912,AF153135
2913,AF153136
2914,AF153137
2915,AF153138
2916,AF153139
2917,AF153140
2918,AF153141
2919,AF153142
2920,AF153143
2921,AF153144
2922,AF153145
2923,AF153146
2924,AF153147
2925,AF153148
2926,AF153149
2927,AF153150
2928,AF153151
2929,AF153152
2930,AF153153
2931,AF153154
2932,AF153155
2933,AF153156
2934,AF153157
2935,AF153158
2936,AF153159
2937,AF153160
2938,AF153161
2939,AF153162
2940,AF153163
2941,AF153164
2942,AF153165
2943,AF153166
2944,AF153167
2945,AF153168
2946,AF153169
2947,AF153170
2948,AF153171
2949,AF153172
2950,AF153173
2951,AF153174
2952,AF153175
2953,AF153176
2954,AF153177
2955,AF153178
2956,AF153179
2957,AF153180
2958,AF153181
2959,AF153182
2960,AF153183
2961,AF153184
2962,AF153185
2963,AF153186
2964,AF153187
2965,AF153188
2966,AF153189
2967,AF153190
2968,AF155706
2969,AF155707
2970,AF155708
2971,AF155709
2972,AF155710
2973,AF155711
2974,AF155712
2975,AF155713
2976,AF155714
2977,AF155715
2978,AF155716
2979,AF155717
2980,AF155718
2981,AF155719
2982,AF155720
2983,AF155721
2984,AF155722
2985,AF155723
2986,AF155724
2987,AF155725
2988,AF155726
2989,AF155727
2990,AF158843
2991,AF158844
2992,AF158845
2993,AF158846
2994,AF158847
2995,AF158848
2996,AF158849
2997,AF158850
2998,AF158851
2999,AF158852
3000,AF158853
3001,AF158854
3002,AF158855
3003,AF158856
3004,AF158857
3005,AF158858
3006,AF158859
3007,AF158860
3008,AF158861
3009,AF158862
3010,AF158863
3011,AF158864
3012,AF158865
3013,AF158866
3014,AF158867
3015,AF158868
3016,AF158869
3017,AF158870
3018,AF158871
3019,AF158872
3020,AF158873
3021,AF158874
3022,AF158875
3023,AF158876
3024,AF158877
3025,AF158878
3026,AF158879
3027,AF158880
3028,AF158881
3029,AF158882
3030,AF158883
3031,AF158884
3032,AF158885
3033,AF158886
3034,AF158887
3035,AF158888
3036,AF158889
3037,AF158890
3038,AF158891
3039,AF158892
3040,AF158893
3041,AF158894
3042,AF158895
3043,AF158896
3044,AF158897
3045,AF158898
3046,AF158899
3047,AF158900
3048,AF158901
3049,AF158902
3050,AF158903
3051,AF158904
3052,AF158905
3053,AF158906
3054,AF158907
3055,AF158908
3056,AF158909
3057,AF158910
3058,AF158911
3059,AF158912
3060,AF158913
3061,AF158914
3062,AF158915
3063,AF159857
3064,AF159858
3065,AF159859
3066,AF159860
3067,AF159861
3068,AF159862
3069,AF159863
3070,AF159864
3071,AF159865
3072,AF159866
3073,AF159867
3074,AF159868
3075,AF159869
3076,AF159870
3077,AF159871
3078,AF159872
3079,AF159873
3080,AF159874
3081,AF159875
3082,AF159876
3083,AF159877
3084,AF159878
3085,AF160813
3086,AF160814
3087,AF160815
3088,AF160816
3089,AF160817
3090,AF160818
3091,AF160819
3092,AF160820
3093,AF160821
3094,AF160822
3095,AF160823
3096,AF160824
3097,AF160825
3098,AF160826
3099,AF160827
3100,AF160828
3101,AF160829
3102,AF176037
3103,AF176038
3104,AF177347
3105,AF177348
3106,AF177349
3107,AF177350
3108,AF177351
3109,AF177352
3110,AF177353
3111,AF177354
3112,AF177355
3113,AF177356
3114,AF177357
3115,AF177358
3116,AF177359
3117,AF177360
3118,AF177361
3119,AF177362
3120,AF177363
3121,AF177364
3122,AF177365
3123,AF177366
3124,AF177367
3125,AF177368
3126,AF177369
3127,AF177370
3128,AF177371
3129,AF177372
3130,AF177373
3131,AF177374
3132,AF177375
3133,AF177376
3134,AF177543
3135,AF177544
3136,AF178157
3137,AF178158
3138,AF178159
3139,AF178160
3140,AF178161
3141,AF178162
3142,AF178163
3143,AF178164
3144,AF178165
3145,AF178166
3146,AF178167
3147,AF178168
3148,AF178169
3149,AF178170
3150,AF178171
3151,AF178172
3152,AF178173
3153,AF178174
3154,AF178175
3155,AF178176
3156,AF178177
3157,AF178178
3158,AF178179
3159,AF178180
3160,AF178181
3161,AF178182
3162,AF178183
3163,AF178184
3164,AF178185
3165,AF178186
3166,AF178187
3167,AF178188
3168,AF178189
3169,AF178190
3170,AF183812
3171,AF183813
3172,AF183814
3173,AF183815
3174,AF183816
3175,AF183817
3176,AF183818
3177,AF183819
3178,AF183820
3179,AF183822
3180,AF183823
3181,AF183824
3182,AF183825
3183,AF183826
3184,AF184155
3185,AF184346
3186,AF184347
3187,AF184348
3188,AF184349
3189,AF184350
3190,AF184351
3191,AF184352
3192,AF184353
3193,AF184354
3194,AF184355
3195,AF184356
3196,AF184357
3197,AF184358
3198,AF184359
3199,AF184360
3200,AF184361
3201,AF184362
3202,AF184363
3203,AF184364
3204,AF184365
3205,AF184366
3206,AF184367
3207,AF184368
3208,AF184369
3209,AF184370
3210,AF184371
3211,AF184372
3212,AF184373
3213,AF184374
3214,AF184375
3215,AF184376
3216,AF184377
3217,AF184378
3218,AF184379
3219,AF184380
3220,AF184381
3221,AF184382
3222,AF184383
3223,AF184384
3224,AF184385
3225,AF184386
3226,AF184387
3227,AF184388
3228,AF184389
3229,AF184390
3230,AF184391
3231,AF184392
3232,AF184393
3233,AF184394
3234,AF184395
3235,AF184396
3236,AF184397
3237,AF184398
3238,AF184399
3239,AF184400
3240,AF184401
3241,AF184402
3242,AF184403
3243,AF184404
3244,AF184405
3245,AF184406
3246,AF184407
3247,AF184408
3248,AF184409
3249,AF184410
3250,AF184411
3251,AF184412
3252,AF184413
3253,AF184414
3254,AF184415
3255,AF184416
3256,AF184417
3257,AF184418
3258,AF184419
3259,AF184420
3260,AF184421
3261,AF184422
3262,AF184423
3263,AF184424
3264,AF184425
3265,AF184426
3266,AF184427
3267,AF184428
3268,AF184429
3269,AF184430
3270,AF184431
3271,AF184432
3272,AF184433
3273,AF184434
3274,AF184435
3275,AF184436
3276,AF184437
3277,AF184438
3278,AF184439
3279,AF184440
3280,AF184441
3281,AF184442
3282,AF184443
3283,AF184444
3284,AF184445
3285,AF184446
3286,AF184447
3287,AF184448
3288,AF184449
3289,AF184450
3290,AF184451
3291,AF184452
3292,AF184453
